Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,24094473562135
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,62265371747840136
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,4785546852708006
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,3412177855972783
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,5319414651064874
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,9280226955249
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,1377354605322714
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,360129283761485
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,12336199071012098
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,1688214935362444
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,1319853840896
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,1118391841892713
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,14328158159404150
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,5924291895831292
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,279766674313950445
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,79861758550439
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,8430090674329594
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,1488805229662007
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,9461993390483030
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,11419380046724749
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,2985716888525852
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,2068008624734630
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,924465348005169
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,8619419246365106
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,30287255245870
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,60509199689963405
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,110967012956364
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,253755880515798
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,32314934151736232
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,270507799638958
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,105355591762042
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,3362950805668572
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,12620844579716
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,8898691638999871
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,330055275956854
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,4263543997235597
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,484222323178166
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,32217378784066
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,1133177892415672
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,451628070087760
