Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,9882779
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,25539255205
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,1962877582
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,1399565739
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,2181853002
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,3806450
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,564946611
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,147713462
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,5059912556
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,692451532
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,541361
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,458728405
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,5876950182
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,2429954216
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,114751302250
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,32756727
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,3457752376
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,610660077
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,3881005720
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,4683862845
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,1224645151
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,848230702
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,379185987
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,3535408874
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,12422859
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,24818929844
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,45515103
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,104082510
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,13254547866
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,110953609
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,43213479
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,1379374385
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,5176664
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,3649957438
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,135378071
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,1748768780
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,198612441
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,13214533
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,464793167
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,185243325
tz1SKobyM2ZGQYYWKiWYnc58GhJ4TBnQN7gy,640201
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,46060009
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,2393806832
tz1SRqikWtR2KNpugCApreA9QeZuqh8swQMa,19464892
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,10145741
tz1deYjddv6VT4o656x2FsaaN1owykAT7Nmx,91499715
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1294186598
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,575563228
tz1UcwKfokzWm6g2jpnVVqjRBd9iFJQHhH2m,216984719
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,574208340
tz1TJspN7PEXSA4tsGJZ1EAE3iJGDBoXJz2Z,278359458
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,23492477
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,615226446
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,424785308
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,237068291
tz1ZLGi9hMam6Gf6kixB1XK1yJED6CYu1tGg,4772280757
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,931262162
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,34291106
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,10982198
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,515864193
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM,393228430
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,1203973044
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,975001881
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2,40249
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,4948434521
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,428741923
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,811624298
