Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,16313549432937869
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,42157767728318646048
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,3240131183773888203
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,2310269696652100890
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,3601594931744498986
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,6283326373283013
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,932560007284292637
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,243831302549142778
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,8352421265421392103
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,1143032975193907732
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,893628193294977
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,757225118492848151
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,9701109086845319289
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,4011136763314669388
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,189420510032702335093
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,54071683390556053
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,5707727981072883449
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,1008019438460578948
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,6406394251018131333
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,7731674253240411404
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,2021527464715688618
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,1400178378678778710
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,625924078184486303
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,5835915924710821172
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,20506471509631984
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,40968723294331165758
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,75131994339727006
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,171809485275435044
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,21879344005876977656
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,183151640562932154
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,71332691698541235
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,2276939733392913016
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,8545145068460532
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,6025001773411895384
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,223469213636837593
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,2886700785515834417
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,327850483444999321
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,21813292580896895
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,767236250942044510
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,305782022075682084
tz1SKobyM2ZGQYYWKiWYnc58GhJ4TBnQN7gy,1056784319113869
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,76031472827219618
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,3951468108003191389
tz1SRqikWtR2KNpugCApreA9QeZuqh8swQMa,32130788159890826
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,16747622752889963
tz1deYjddv6VT4o656x2FsaaN1owykAT7Nmx,151039007280889956
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,2136319856844545106
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,950084907439936146
tz1UcwKfokzWm6g2jpnVVqjRBd9iFJQHhH2m,358177688747580605
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,947848387613007036
tz1TJspN7PEXSA4tsGJZ1EAE3iJGDBoXJz2Z,459489256134115285
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,38779142449463230
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,1015557165737808231
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,701195090271139914
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,391329735609772737
tz1ZLGi9hMam6Gf6kixB1XK1yJED6CYu1tGg,7877626113353149349
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,1537238796182551442
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,56604490080414645
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,18128367018320337
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,851539430317965867
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM,649104005131281410
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,1987403922205657869
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,1609440155570815069
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2,66440742472741
