Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,289635738897748
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,748481883508308245
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,57526278594111091
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,41017233765932532
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,63943816368989033
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,111556095400496
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,16556955179289496
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,4329055413142132
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,148291438030719975
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,20293756531386497
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,15865747863690
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,13444006015257132
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,172236453510417860
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,71214947123456730
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,3363029585391092661
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,960005180763929
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,101336745753660622
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,17896684966200225
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,113741080087545888
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,137270505996235680
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,35890815996355386
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,24859194558755605
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,11112847245420566
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,103612633654450265
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,364078157993375
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,727371225485298306
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,1333916373313089
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,3050358073327695
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,388452555576005127
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,3251730162270796
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,1266462393889444
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,40425483419038759
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,151713115288994
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,106969721560351858
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,3967540667877093
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,51251367363467761
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,5820757610778014
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,387279858404368
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,13621746718225905
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,5428947407773803
tz1SKobyM2ZGQYYWKiWYnc58GhJ4TBnQN7gy,18762471550434
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,1349885989086683
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,70155571593856689
tz1SRqikWtR2KNpugCApreA9QeZuqh8swQMa,570459825944884
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,297342409189026
tz1deYjddv6VT4o656x2FsaaN1owykAT7Nmx,2681592663571855
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,37928875184563203
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,16868097608872644
tz1UcwKfokzWm6g2jpnVVqjRBd9iFJQHhH2m,6359196075848150
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,16828389752817469
tz1TJspN7PEXSA4tsGJZ1EAE3iJGDBoXJz2Z,8157912584448181
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,688496738453111
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,18030512078351676
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,12449231782269525
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,6947787640692821
tz1ZLGi9hMam6Gf6kixB1XK1yJED6CYu1tGg,139861779895335936
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,27292607070271199
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,1004973404271512
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,321856564565864
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,15118491111611863
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM,11524390747736222
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,35284976201077823
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,28574492055620805
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2,1179609233301
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,145024338471589648
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,12565188763781308
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,23786366471427028
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,187202947989276171
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,67038845510866643
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,482446606061645345
tz1d9Y652aoNq7351TAYiNeWy4FdWuuw1JxD,1106275567428795
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,100213371124606110
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,3517767441865094
tz1LaWQ2BUAdTVNz9nb7AhKDcPDQsb99tzhD,721295597777003
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,4415778346537071
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,6825929825706674
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,12071506277421650
tz1aZsKPTRdkm9vaQhWv9Mz8ZbwxSHmf7t9T,2820879763916342
tz1KyRUKbkuBTK5uaidmF8FbWHYrMjdw6GuP,1461534689565557
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,229662540821964
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,63251330051637975
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,1414101189838623
tz3VvvqkW6D7bSPej9x3pghjTozTRbaB4Gn2,7617504713501967
tz1Y2QaG5AtmfN7rwBG1coLQKFTTSw55g3Kk,24616673410425
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,34731005192984900
tz1gXcAJZUYqK8JkkGDPN63cPQGu8LiBndK1,48005197854988718
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,7781396541423797
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,1157699746826775
tz1Md6npfDk8cL8rjnPNZU15tHvyCZkcGDuu,3465607494785439
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,6712190521004479
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,205236429809070208
tz1TgtGGP3TDUMnUw4UzRTZHrsmzsSKraau7,18996473837323
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,94993301681153887
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,263368770699417658
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,143148965124948892
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,12420323908027500
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,2301667985093234
tz1bKUD8UtyPfknyWyMbtTqsfdMuWomrPdSp,4107061799846465
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,59082877116766591
tz1XLpud4YtVgwiAJezLKUsAo9K2s8n2YPqx,8002207165162503
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,3521002659734676
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,2009717385983257
tz1MNGNi6vfbqGdhikvLBGbcz3FncMpuvU6J,40499879927509
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,43832256336940132
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,5822343889802604
tz1UnGY1PRznh3CJzSFaW2V9EZdK36AYneHi,333649087450988500
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,31445975103744847
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,1133054148699158
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,11098483477962094
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,43455936798787606
tz1c6Brwut7ZqXQfkjxDXvyAUL2Mr43p2JZZ,79947522986851
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,29255339797461851
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,8592126574803995
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,5995263602715909
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,146036643150240165
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,2052929115047375
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,90706529431685250
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv,1584716587527145
tz1PTR7wFs8pTFarkpsZ7zrtVBJhusyNRRM5,5483083148126043
tz1awQgCgLpgnkxRvbnKemRws9uqp6WASwRD,73293647893518
tz1PaJwmmL2nrRt5K6HvwFEc6fUfxNe6Dyp5,3898475534929251
tz1YSwscBZCf26kSPvqsnUdhnS4XQD6mAjcz,41533236158937032
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,3832164604822937
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,4192220104742585
tz1MqSihmFMUS3qAmWPhdQWhzrhJJSBMaVCB,285523403524008
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,13185946426058658
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,716923296332459
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,10515386217027779
tz1dz7eYRd5uV2DndcPWFeEHYGgw4bJZoCBN,18113400247850710
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,16917634069754797
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,841097833426140
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,7428525690968682
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,26208853759613715
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,14700427440061471
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,33135147371027807
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,1283234184682432
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,137318881413089920
tz1br5Mvr9VMEb1sb7HDtxpCxKVbZ5XnDqJi,5793881689786244
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX,5791579897718520
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,104547667857025049
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,1240801805761606
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,10512296200299759
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,1772154361023185
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,30913929919855663
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,23485976689612588
tz1gk77xzDAG3sif9eFvsqUnzaGh4MrzaCp3,7465866573265361
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,24887477670969120
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,57650115164460696
tz1MiKQQw6u5CWaBZHtn7Xmbr6f7fCQZyZKa,120489604555402
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,169951154988975
