Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,3949726077778
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,10206953138062536
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,784478612982627
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,559346848770031
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,871993767020684
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,1521276417113
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,225785111634079
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,59034783216001
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,2022231655976563
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,276743400842531
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,216359204562
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,183334216110037
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,2348766815045307
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,971149260970263
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,45861210720437881
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,13091469691191
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,1381916433599144
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,244054837934693
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,1551072777987033
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,1871940594439461
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,489438535565514
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,339001703984971
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,151544497687492
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,1412952430144524
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,4964887967377
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,9919069754506821
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,18190449511861
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,41597348706464
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,5297278556082655
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,44343434510868
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,17270588093538
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,551277223848895
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,2068892637622
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,1458732614930404
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,54104852185015
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,698908439157614
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,79376938133429
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,5281286632510
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,185758043681421
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,74033871762426
tz1SKobyM2ZGQYYWKiWYnc58GhJ4TBnQN7gy,255861460496
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,18408225150024
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,956702690352475
tz1SRqikWtR2KNpugCApreA9QeZuqh8swQMa,7779288769521
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,4054820969514
tz1deYjddv6VT4o656x2FsaaN1owykAT7Nmx,36568541277387
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,517231291923396
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,230028121742931
tz1UcwKfokzWm6g2jpnVVqjRBd9iFJQHhH2m,86719555639335
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,229486630713023
tz1TJspN7PEXSA4tsGJZ1EAE3iJGDBoXJz2Z,111248426032143
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,9388943272962
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,245879821401132
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,169768605234509
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,94746104647667
tz1ZLGi9hMam6Gf6kixB1XK1yJED6CYu1tGg,1907277470105747
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,372185843799010
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,13704695689250
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,4389117417649
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,206168958386985
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM,157156664574847
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,481176774612014
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,389666747829073
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2,16086182485
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,1977678630937236
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,171349895981018
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,324371682532437
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,2552863014502728
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,914200289460492
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,6579063579477900
tz1d9Y652aoNq7351TAYiNeWy4FdWuuw1JxD,15086140524340
