Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,24706
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,63847571
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,4907150
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,3498883
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,5454584
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,9516
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,1412353
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,369280
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,12649669
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,1731113
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,1353
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,1146810
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,14692245
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,6074831
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,286875709
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,81891
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,8644304
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,1526636
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,9702428
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,11709553
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,3061585
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,2120557
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,947956
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,8838443
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,31056
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,62046773
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,113786
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,260203
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,33136075
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,277381
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,108032
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,3448405
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,12941
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,9124812
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,338442
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,4371883
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,496526
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,33036
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,1161972
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,463104
tz1SKobyM2ZGQYYWKiWYnc58GhJ4TBnQN7gy,1600
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,115149
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,5984463
tz1SRqikWtR2KNpugCApreA9QeZuqh8swQMa,48661
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,25364
tz1deYjddv6VT4o656x2FsaaN1owykAT7Nmx,228747
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,3235437
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,1438895
tz1UcwKfokzWm6g2jpnVVqjRBd9iFJQHhH2m,542456
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,1435508
tz1TJspN7PEXSA4tsGJZ1EAE3iJGDBoXJz2Z,695892
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,58730
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,1538052
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,1061953
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,592665
tz1ZLGi9hMam6Gf6kixB1XK1yJED6CYu1tGg,11930595
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,2328134
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,85727
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,27455
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,1289649
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM,983062
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,3009905
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,2437483
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2,100
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,12370976
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,1071845
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,2029042
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,15968928
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,5718598
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,41154027
tz1d9Y652aoNq7351TAYiNeWy4FdWuuw1JxD,94368
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,8548477
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,300075
tz1LaWQ2BUAdTVNz9nb7AhKDcPDQsb99tzhD,61528
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,376678
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,582270
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,1029732
tz1aZsKPTRdkm9vaQhWv9Mz8ZbwxSHmf7t9T,240628
tz1KyRUKbkuBTK5uaidmF8FbWHYrMjdw6GuP,124672
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,19590
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,5395513
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,120626
tz3VvvqkW6D7bSPej9x3pghjTozTRbaB4Gn2,649794
tz1Y2QaG5AtmfN7rwBG1coLQKFTTSw55g3Kk,2099
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,2962650
tz1gXcAJZUYqK8JkkGDPN63cPQGu8LiBndK1,4094975
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,663774
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,98754
tz1Md6npfDk8cL8rjnPNZU15tHvyCZkcGDuu,295625
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,572568
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,17507234
tz1TgtGGP3TDUMnUw4UzRTZHrsmzsSKraau7,1620
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,8103190
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,22466083
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,12211001
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,1059487
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,196338
tz1bKUD8UtyPfknyWyMbtTqsfdMuWomrPdSp,350343
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,5039932
tz1XLpud4YtVgwiAJezLKUsAo9K2s8n2YPqx,682610
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,300351
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,171434
tz1MNGNi6vfbqGdhikvLBGbcz3FncMpuvU6J,3454
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,3739012
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,496662
tz1UnGY1PRznh3CJzSFaW2V9EZdK36AYneHi,28461188
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,2682428
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,96652
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,946731
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,3706911
tz1c6Brwut7ZqXQfkjxDXvyAUL2Mr43p2JZZ,6819
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,2495561
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,732932
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,511412
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,12457328
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,175120
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,7737517
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv,135180
tz1PTR7wFs8pTFarkpsZ7zrtVBJhusyNRRM5,467722
tz1awQgCgLpgnkxRvbnKemRws9uqp6WASwRD,6252
tz1PaJwmmL2nrRt5K6HvwFEc6fUfxNe6Dyp5,332550
tz1YSwscBZCf26kSPvqsnUdhnS4XQD6mAjcz,3542899
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,326894
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,357607
tz1MqSihmFMUS3qAmWPhdQWhzrhJJSBMaVCB,24355
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,1124797
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,61155
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,896991
tz1dz7eYRd5uV2DndcPWFeEHYGgw4bJZoCBN,1545123
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,1443120
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,71747
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,633673
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,2235687
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,1253987
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,2826519
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,109463
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,11713679
tz1br5Mvr9VMEb1sb7HDtxpCxKVbZ5XnDqJi,494234
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX,494037
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,8918204
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,105843
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,896727
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,151169
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,2637043
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,2003418
tz1gk77xzDAG3sif9eFvsqUnzaGh4MrzaCp3,636859
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,2122970
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,4917714
tz1MiKQQw6u5CWaBZHtn7Xmbr6f7fCQZyZKa,10278
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,14497
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,2264928
tz1hJso9uzj2UFHr4rGA2o6s41UK8NLnGpUd,332105
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,143660
