Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,8501
tz1foujP81wtDKMCX95CBY35TUYzWapuuuLg,21970044
tz1NBpWeS2gVpwPpT9NUn9ifBRfriwicJT4y,1688557
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,1203970
tz1XwT7cC7UnvMi4GooA3qUNEA22cPcUXxLp,1876930
tz1WdQ1dak79v48jXAQjYtt5ZMGnPiwn1ktL,3274
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,485993
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,127069
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,4352769
tz1ek9wEDD2edxuV1JniLuh2ckh5DeM4FjQo,595678
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,465
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,394619
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,5055623
tz2UD7tXJyBrfDBHnFzhnaeL8ZGHxcDZuDa3,2090358
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,98714358
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,28178
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,2974517
tz1Z6nhkXDgJjDzSpDEX5g2o1ris8Ga4xjDY,525317
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,3338619
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,4029274
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,1053496
tz1VjYmQHw4QE6tYTQLLfWNjqkUNwMC7YPoF,729687
tz1czaureyspHk1etv1dKV1WmHCs9pb4fXBr,326193
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,3041321
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,10686
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,21350387
tz1bEi1SEPrZh28Vqa2gKi7veuJ7AksFC5GL,39154
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,89536
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,11402172
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,95447
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,37174
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,1186601
tz1MstraWa1kkCRoGRYpYEtMncugi99rUx2H,4453
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,3139861
tz1U1Pfo6gY5UKitBztSaAbmbwFxgmmN2oaP,116458
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,1504371
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,170855
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,11367
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,399836
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,159354
tz1SKobyM2ZGQYYWKiWYnc58GhJ4TBnQN7gy,550
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,39622
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,2059262
tz1SRqikWtR2KNpugCApreA9QeZuqh8swQMa,16744
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,8727
tz1deYjddv6VT4o656x2FsaaN1owykAT7Nmx,78712
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1113318
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,495126
tz1UcwKfokzWm6g2jpnVVqjRBd9iFJQHhH2m,186660
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,493960
tz1TJspN7PEXSA4tsGJZ1EAE3iJGDBoXJz2Z,239457
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,20209
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,529246
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,365419
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,203937
tz1ZLGi9hMam6Gf6kixB1XK1yJED6CYu1tGg,4105335
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,801114
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,29498
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,9447
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,443770
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM,338273
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,1035713
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,838741
tz1iPeVakaABzkhWFmG8mjYMpcN3JCpHBvZ2,34
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,4256871
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,368823
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,698196
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,5494932
