Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,18661725026235611
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,270452595410972532
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,253114138774919860
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,40435057290256823232
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,6923267664253330023
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,6171735062118171645
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,6994869383020338771
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,10478965024481085940
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,2193997958963067703
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,7152515487403764
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,45963561212545870625
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,26265071939822786407
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,285365687818603033
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,69818172466142119
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,9716495815693500053
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,186210303131
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,11688303047944912971
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,357348936697476782
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,836246189035028610
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,333285934185518407
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,82870210212845536
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,2329505779948461500
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,1036464104255820482
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,1340942661143127499
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,42388747482165775
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,1451132443551194109
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,765281013213356732
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,426827829337817074
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,69851525266358014
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,786629460985493724
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,408255514487594293
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,979871126343552050
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,577951524045816623
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,8914515418918778442
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,772906296506740025
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,11515076674627269899
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,4123070713579628632
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,30206609153923341557
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,6158706523820515433
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,9424189369959504
tz1LaWQ2BUAdTVNz9nb7AhKDcPDQsb99tzhD,44255046397884647
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,134777269990430167
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,742652208614827430
tz1aZsKPTRdkm9vaQhWv9Mz8ZbwxSHmf7t9T,17194717118773374
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,414765999051218
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,3342349792698001755
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,85657034334072532
tz3VvvqkW6D7bSPej9x3pghjTozTRbaB4Gn2,73681783946242025
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,1115767900212812948
tz1gXcAJZUYqK8JkkGDPN63cPQGu8LiBndK1,502769358461255687
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,474338549850462640
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,368385636847253883
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,7215261797529244267
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,6828765433349219853
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,8863392496006603336
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,1238194638373870360
tz1bKUD8UtyPfknyWyMbtTqsfdMuWomrPdSp,240728924305011258
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,3678172732475602940
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,686836836305730
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,124473362147754126
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,2717076420247564357
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,360991445344416877
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,455753143589235774
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,67716652807015099
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,35377794439979870
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,2696490855658418679
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,1815690662475913883
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,533470881125734560
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,372273036410122165
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,9069881355105736392
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,10425385747445516
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,22776896535710627986
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,238202838252545583
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,261032151910363720
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,821115161492781964
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,108693077605059797
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,655007767655608812
tz1dz7eYRd5uV2DndcPWFeEHYGgw4bJZoCBN,209001485666567358
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,1259657161472446684
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,8332367649
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,463138859460611700
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,1458441998577566257
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,916974314896998038
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,2781434773726374889
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,77509373538384181
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,8582793726995431265
tz1br5Mvr9VMEb1sb7HDtxpCxKVbZ5XnDqJi,46281318245507822
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX,3603697616887330
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,6539700966850638777
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,78053043500526359
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,657958329684416081
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,189833071675
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,1387190440757136123
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,1811384271711916303
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,1558920425686970690
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,7261818084736774928
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,3260643120806564
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,2120560651896523904
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,172649254143621238
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp,4220935776604426438
tz1ZLMaECyswARea2bTsBws9eMjgUm4jG8Uj,5383180662793429747
tz1NySiq6aHysD6Rpu4bYhFaVe3ASya2qB8D,1554166947030515019
tz1Rb321A5bMKjQdczUs7TyJBeXjfCtB4mYd,9475355338967127042
tz1USU2xSWb7CBYGJYat2X7An9sr3cFfsLwi,231807221917651239
tz1aoYg1xYeEdnLrAJ7y2r1T3aMBCyms6ppJ,1769143472662911142
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,157664818829901646
tz1fq3tMpnnsZ944DVxcJqsVNGsWTPvqJzvo,1503897204077011973
tz1PrecMTmNArbdvQxtZLUVUBT8rcC86dKZC,3125724699266
tz1Ty6Hq9GpzxmMs5Sv1VQ7cP2U4KuSCAN3K,80170803892929174
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,82250830546852324
tz1dugdoeZULYPA9phfkpofrP95rFqhZNXeR,534515950586654
tz1UecmgMghaWovhh9EYfqTrK9gTtaiMtbzs,27392948108170073
tz1gGwXf6Ggkv9T4jGmp58jUMU2Gh2vYjDyH,170304022322118929
tz1QjPnpmqAJYSfDtDM7uTf5bkZDNY7eBECd,587973242811131059
tz2MzvuRU1GEKi9udpqzLpGYfDoZTiKZ3C4C,1902789954852639559
tz1SEox4m6JwzUjLL2daQMKU7XDrvsEukR7X,122418931386435443
tz1XJqUrY2okTwoJFgHFJKQV98tsn2oC6Twj,163353792314873623
tz1VqXA6L6hPEFjvsgWv7Viw4xQn5GyNszzy,15811218367749829175
tz1Wf1Lqz1yHm27P2RQJAVV2CMxnhYK4bBGc,71608080112051587
tz1cTS1WwovU7SC783xgJxZrzr151mcshmNi,1394876970184977161
tz1f4Z9FJfgStP7v6Rj7BMJnWJ9Mb1NdAGsS,181138427171
tz1ersiy3MYVu89DFXvW7Qb8AM6LYptSsoT7,715688400264067733
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt,90569397622237821
tz1dcpUhXGeXexEXispSpfv7CeufoFnV7AAf,4398521670865399192
tz1RKRhkvC7MQgKfPejvNaHGshWUDsyJKZdT,2597425449206645880
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,486961059507455078
tz1SHzbhYsbX6Uk51hJC4JkjgWM1gWaSwBqQ,144112102773832374
tz1LGkz6e1mTymuFyHBVFQZsHEtHepCYYgXD,2781780602574024850
tz1NW1MMFL3jytxBjhx1qATMJyY47vLBMa4p,8013247776427109257
tz1QRm2TJKnarZ9tbL5CNjN4Ltq9pJtytuk7,3816795694241963
tz1WJpBDRGfa21un4yQDKTGXZw561nsGg7Qe,55287323391011915
tz1UXAsfFeufr6p2PafNr2oXNrTDSdtwwdgm,58239703906774653
tz1YPUNi7KW28VxZNEu3fNkRkJG55G9p7wsN,49701376431053378
tz1YpusrSty7ULz7w9sM814trSRmM1aNbmZd,1758288329275311612
tz1cuj9Cgi19KMRi83UuypS89kXM435qdhmy,7068915165219560
tz1htwxBMBFikeP8SnQiEQyA9n1ryDrDFyLK,36227696664820810
tz1XTyukKgkqq9P83UkV15np7EtSSEy4kAeY,37106784999878135
tz1WMFtCLLeRiayH19ZiaErKq4Zu9p5N73Sr,139114312067
tz1RFUjzPENm3vF7quaxfELQCfNTCSjAsFdA,357149383375522513
tz1cLd3gXJ9Fk5c648hRzFvTnGfT97CxcHrj,353526265959487948
tz1Te5JR7gzDBwtZLKPWSPuTGFE4JX21vVur,13975191933111
tz1NGDuYTuuB1geX1K5b88cqa8JinFLdd3d5,197570186439343345
tz1XykUaKpskyp7hDEZjmuNTk4gFU58a46KC,20781370693573796675
tz1dghYwdzvHc3tYHp8iHpNUSpmAvvs8Zjs8,140395576980504733
tz1PuipWs33aqS2KSG5k1qQtC6Dff1P1GBmM,176791104919
tz1ZNxMa8XsMa8JTv776X9iCETcNoo4SY629,56275774098091313075
tz1iAAJhH465Cf3BnsKQ744XHypQGY1v7Ps9,184761195714
tz1a5QW18ULwjJK71LSc7UqNGgryrFouHzf1,1521703761182762393
tz1Z1ZX2B98nEAvEnLXJBCnsJ6K1GqaSp9jK,126352872944201981
tz1enT2GWv7U8jyPmmoVb228u8hvi6hJh5FF,12608565174000937
