Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,991959109803487
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,14375836928834408
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,13454215803998098
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,2149314887991737048
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,368004480802775904
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,328056962020120875
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,371810451424927378
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,557006643422981114
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,116621387316769509
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,380190088845815
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,2443181067114469563
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,1396113025120844922
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,15168538452851791
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,3711166685301385
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,516477792175939149
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,9897959929
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,621288689563957286
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,18994789208249081
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,44450447323897524
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,17715726607262070
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,4404944335874403
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,123824270077452649
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,55092978208363649
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,71277456214527282
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,2253162778841768
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,77134565260624625
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,40678311975415572
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,22687921563203002
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,3712939544668089
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,41813083129634372
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,21700715027905911
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,52084793278403494
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,30720862004775911
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,473848734071926717
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,41083631913260014
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,612080887025387912
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,219160744730160991
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,1605624404195386369
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,327364433476611912
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,500940319552562
tz1LaWQ2BUAdTVNz9nb7AhKDcPDQsb99tzhD,2352365409277114
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,7164050513738585
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,39475483789172485
tz1aZsKPTRdkm9vaQhWv9Mz8ZbwxSHmf7t9T,913980688413444
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,22046778131024
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,177661728503421727
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,4553077242697586
tz3VvvqkW6D7bSPej9x3pghjTozTRbaB4Gn2,3916535942379091
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,59308350727835606
tz1gXcAJZUYqK8JkkGDPN63cPQGu8LiBndK1,26724573669077340
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,25213341478006713
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,19581442116292132
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,383525352539178478
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,362981239451277210
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,471131308483926667
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,65815911954445544
tz1bKUD8UtyPfknyWyMbtTqsfdMuWomrPdSp,12795882970188573
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,195512308978970407
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,36508632281541
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,6616348989000179
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,144425486031314383
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,19188405802095071
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,24225439072183856
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,3599460957809875
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,1880497404723154
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,143331265733033082
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,96512561978919234
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,28356505071402332
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,19788075822683804
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,482107169749075276
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,554158650974405
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,1210699974406771419
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,12661609527172554
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,13875095719986849
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,43646161514835494
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,5777552093996611
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,34816766467440086
tz1dz7eYRd5uV2DndcPWFeEHYGgw4bJZoCBN,11109419272760271
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,66956746752786537
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,442904821
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,24618024866408764
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,77523102745065437
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,48741529726706693
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,147846437467235143
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,4119990465429702
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,456216154352732012
tz1br5Mvr9VMEb1sb7HDtxpCxKVbZ5XnDqJi,2460071359041266
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX,191553603700782
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,347616093385699745
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,4148889099983329
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,34973602819888798
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,10090527243
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,73735744836388614
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,96283656904885856
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,82864007241824314
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,386000039801433853
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,173318631742511
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,112717846478948654
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,9177125919912288
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp,224362736542946960
tz1ZLMaECyswARea2bTsBws9eMjgUm4jG8Uj,286141559296839998
tz1NySiq6aHysD6Rpu4bYhFaVe3ASya2qB8D,82611337327874843
tz1Rb321A5bMKjQdczUs7TyJBeXjfCtB4mYd,503660033244500608
tz1USU2xSWb7CBYGJYat2X7An9sr3cFfsLwi,12321652214690056
tz1aoYg1xYeEdnLrAJ7y2r1T3aMBCyms6ppJ,94038358286289108
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,8380632182392914
tz1fq3tMpnnsZ944DVxcJqsVNGsWTPvqJzvo,79939262297292005
tz1PrecMTmNArbdvQxtZLUVUBT8rcC86dKZC,166147078355
