Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,67827828398278
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,982985881831134
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,919967599236794
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,146965091560526206
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,25163279944707567
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,22431762665266796
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,25423523254836872
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,38086802826256932
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,7974295884089419
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,25996503132138
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,167058968992170561
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,95462921562620750
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1037188945657783
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,253760840139767
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,35315535401626610
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,676799195
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,42482257791738403
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,1298818963549632
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,3039416931116545
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,1211359674398500
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,301199722412796
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,8466812048350783
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,3767128135561198
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,4873784635883316
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,154065965830932
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,5274279962114449
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,2781487197336895
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,1551346658641386
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,253882064089132
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,2859080177086752
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,1483843800098099
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,3561435532707796
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,2100620212782678
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,32400660776974001
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,2809202020376284
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,41852649933572719
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,14985695718990919
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,109788816377145700
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,22384409193993831
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,34253119606029
tz1LaWQ2BUAdTVNz9nb7AhKDcPDQsb99tzhD,160849208131272
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,489860906644347
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,2699240637974916
tz1aZsKPTRdkm9vaQhWv9Mz8ZbwxSHmf7t9T,62495847540861
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,1507506780296
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,12148090697265528
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,311328701808057
tz3VvvqkW6D7bSPej9x3pghjTozTRbaB4Gn2,267803506404617
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,4055365383508044
tz1gXcAJZUYqK8JkkGDPN63cPQGu8LiBndK1,1827363425496859
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,1724028926410300
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,1338932908149604
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,26224560610739206
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,24819802528123244
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,32214849613341993
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,4500337098377651
tz1bKUD8UtyPfknyWyMbtTqsfdMuWomrPdSp,874952350080576
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,13368671361669151
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,2496374317222
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,452410365925192
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,9875474690494591
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,1312058010373897
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW,1656478485878862
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,246122665500794
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,128583984975184
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,9800654482798288
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,6599301752953453
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,1938951052467278
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,1353062034481445
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,32965353164403981
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,37892063808113
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,82784813702784877
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,865771048188867
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,948746376946313
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,2984421761153302
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,395055409160310
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,2380688516288015
tz1dz7eYRd5uV2DndcPWFeEHYGgw4bJZoCBN,759635933165212
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,4578344695835964
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,30284788
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,1683322578159605
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,5300847240503748
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,3332831042629942
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,10109391295182504
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,281715247664863
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,31194986491015354
tz1br5Mvr9VMEb1sb7HDtxpCxKVbZ5XnDqJi,168213887386573
tz1PMB2EKqwkD2NDuf9tvdqhEjhBy3pBGQKX,13097984415368
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,23769170016812443
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,283691268254902
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,2391412616803217
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,689966495
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,5041876623898913
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,6583649762939362
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,5666045715035141
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,26393773899174971
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,11851119966411
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,7707380952338013
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,627510263208846
