Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,234743325436667
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,3401986768666673
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,3183888658070545
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,508627139194951493
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,87086851408977421
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,77633424035502431
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,87987519784849378
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,131813489563425243
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,27598004802032021
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,89970528897515
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,578169445363502653
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,330384802118746015
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,3589576549321461
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,878233387190733
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,122222492087991599
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,2342314321
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,147025589667022664
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,4495044141079811
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,10519028172467953
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,4192358873683208
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,1042413211943198
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,29302539429783125
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,13037542359385329
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,16867537114286161
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,533202344963815
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,18253599545023306
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,9626366784565305
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,5369009773041575
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,878652927572144
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,9894906033530616
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,5135391126165738
