Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,39
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,570
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,533
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,85262
tz1P6DFx1Biicriaz37h6oLAhndhBL8eMoAt,14598
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,13013
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,14749
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,22096
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,4626
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,15
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,96919
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,55383
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,601
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,147
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,20488
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,24646
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,753
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,1763
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,702
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,174
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,4912
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,2185
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,2827
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,89
tz1TrxaPKNsRpcgw58155HdX6USrpV2fERQm,3059
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,1613
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,900
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,147
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,1658
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,860
tz3T9ZKHLVzc23dxD85p9xo6L8L5mx1hvb5x,2066
tz1dZuKxjVojU7gtRDU1nMmG8uRdowF2Q3Sn,1218
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,18797
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,1629
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,24280
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,8694
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,63694
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,12986
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,19
tz1LaWQ2BUAdTVNz9nb7AhKDcPDQsb99tzhD,93
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,284
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,1565
tz1aZsKPTRdkm9vaQhWv9Mz8ZbwxSHmf7t9T,36
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,7047
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,180
tz3VvvqkW6D7bSPej9x3pghjTozTRbaB4Gn2,155
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,2352
tz1gXcAJZUYqK8JkkGDPN63cPQGu8LiBndK1,1060
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,1000
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,776
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,15214
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,14399
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,18689
