Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,35331450370560474
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,138801682129816390
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,23663556962745152857
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,4968950028674475
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,74636278299156777
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,1383094228691981
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,3835817474838654863
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,7096837416123885665
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,1203135505457715961
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,597857394621710243
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,30761870488829371415
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,70341386881675
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,1943902401966167119
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,68483696536993250
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,34794862875600031
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,342910023834739416
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,4226242257012823
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,5619684150154133513
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,195961528506386993
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,76984964029063
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,458577218461616694
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,182765958942713269
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,45444022335800833
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,1277444722578313959
