Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,2659395232123921
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,10447590681824541
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,1781153898348130563
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,374012441502533
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,5617866251469794
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,104105383695948
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,288721651585052632
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,534178342232009562
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,90559906068257395
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,45000674698364625
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,2315443347249960587
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,5294590143686
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,146317366688421541
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,5154761951138443
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,2619006337505993
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,25810808015780306
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,318108891376435
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,422993142885948249
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,14750007404842762
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,5794651624455
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,34517067812014861
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,13756778018142191
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,3420567654620304
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,96153154452932885
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,42781303210003421
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,68949217770926384
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,1749646564006048
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,31587894778706603
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,17617832311211178
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,98852369238713735
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,5644104058668
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,1546350536495828
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,367957351866846612
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,3806444412023204
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,9728234957277890
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,466805074954958348
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,125654777386042450
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,266528446614991596
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,254208023312267077
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,11614354389090339
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,844442000798119
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,8957094468
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,30653863636832483
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,1378914272713772
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,27443044633623252
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,3535597173957847
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,7397131346254612
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,841118946043168
