Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,68280
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,268243
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,45731316
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,9602
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,144239
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,2672
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,7412959
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,13715085
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,2325135
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,1155397
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,59449254
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,135
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,3756713
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,132349
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,67243
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,662695
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,8167
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,10860394
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,378708
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,148
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,886229
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,353206
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,87823
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,2468742
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,1098414
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,1770278
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,44922
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,811022
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,452339
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,2538045
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,144
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,39702
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,9447344
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,97730
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,249773
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,11985270
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,3226199
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,6843146
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,6526818
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,298199
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,21681
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,787041
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,35403
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,704603
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,90776
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,189922
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,21595
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,294619
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,938380
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,7236927
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,2886
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,9393165
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,1312202
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,225062
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,4360165
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,22776
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,131913
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,2879478
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,382568
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,2059
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,37492
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,2857662
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,1924216
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,565356
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,8932
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,9611996
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,24282
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,6292834
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv,323
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,100286
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,276634
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,840021
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,115189
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,545890
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,5090514
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,490821
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,1545614
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,418016
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,2947683
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,82142
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,8327136
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,6930584
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,125849
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,303594
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,159
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,1835208
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,109292
tz1gk77xzDAG3sif9eFvsqUnzaGh4MrzaCp3,234983
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,1652098
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,4365575
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,3455
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,1355700
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,182968
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp,14954546
tz1ZLMaECyswARea2bTsBws9eMjgUm4jG8Uj,5704938
tz1NySiq6aHysD6Rpu4bYhFaVe3ASya2qB8D,383930
tz1Rb321A5bMKjQdczUs7TyJBeXjfCtB4mYd,3452336
tz1USU2xSWb7CBYGJYat2X7An9sr3cFfsLwi,245662
tz1aoYg1xYeEdnLrAJ7y2r1T3aMBCyms6ppJ,2338733
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,257162
tz1fq3tMpnnsZ944DVxcJqsVNGsWTPvqJzvo,120540
tz1PrecMTmNArbdvQxtZLUVUBT8rcC86dKZC,2972
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,31238
tz1dugdoeZULYPA9phfkpofrP95rFqhZNXeR,566
tz1UecmgMghaWovhh9EYfqTrK9gTtaiMtbzs,6864
tz1gGwXf6Ggkv9T4jGmp58jUMU2Gh2vYjDyH,180483
tz1QjPnpmqAJYSfDtDM7uTf5bkZDNY7eBECd,623116
tz1aVZZd883FwyEx5g2o3TgQ7pwEYi2f6apg,4118
tz2MzvuRU1GEKi9udpqzLpGYfDoZTiKZ3C4C,121064
tz1SEox4m6JwzUjLL2daQMKU7XDrvsEukR7X,3809
tz1XJqUrY2okTwoJFgHFJKQV98tsn2oC6Twj,173117
tz1VqXA6L6hPEFjvsgWv7Viw4xQn5GyNszzy,16756269
tz1Wf1Lqz1yHm27P2RQJAVV2CMxnhYK4bBGc,384479
tz1cTS1WwovU7SC783xgJxZrzr151mcshmNi,730287
tz1ersiy3MYVu89DFXvW7Qb8AM6LYptSsoT7,758465
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt,23668
tz1dcpUhXGeXexEXispSpfv7CeufoFnV7AAf,4655255
tz1RKRhkvC7MQgKfPejvNaHGshWUDsyJKZdT,2752675
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,123
tz1SHzbhYsbX6Uk51hJC4JkjgWM1gWaSwBqQ,152725
tz1NW1MMFL3jytxBjhx1qATMJyY47vLBMa4p,22395
tz1QRm2TJKnarZ9tbL5CNjN4Ltq9pJtytuk7,603
tz1WJpBDRGfa21un4yQDKTGXZw561nsGg7Qe,4235
tz1UXAsfFeufr6p2PafNr2oXNrTDSdtwwdgm,61720
tz1YPUNi7KW28VxZNEu3fNkRkJG55G9p7wsN,39646
tz1YpusrSty7ULz7w9sM814trSRmM1aNbmZd,3103372
tz1cuj9Cgi19KMRi83UuypS89kXM435qdhmy,7491
tz1htwxBMBFikeP8SnQiEQyA9n1ryDrDFyLK,38393
tz1XTyukKgkqq9P83UkV15np7EtSSEy4kAeY,39324
tz1WMFtCLLeRiayH19ZiaErKq4Zu9p5N73Sr,102
tz1RFUjzPENm3vF7quaxfELQCfNTCSjAsFdA,378496
tz1cLd3gXJ9Fk5c648hRzFvTnGfT97CxcHrj,233902
tz1Te5JR7gzDBwtZLKPWSPuTGFE4JX21vVur,14
tz1NGDuYTuuB1geX1K5b88cqa8JinFLdd3d5,191965
tz1XykUaKpskyp7hDEZjmuNTk4gFU58a46KC,22023492
tz1dghYwdzvHc3tYHp8iHpNUSpmAvvs8Zjs8,4566052
tz1PuipWs33aqS2KSG5k1qQtC6Dff1P1GBmM,53107
tz1ZNxMa8XsMa8JTv776X9iCETcNoo4SY629,73046640
tz1a5QW18ULwjJK71LSc7UqNGgryrFouHzf1,62164
tz1Z1ZX2B98nEAvEnLXJBCnsJ6K1GqaSp9jK,133905
tz1enT2GWv7U8jyPmmoVb228u8hvi6hJh5FF,13362
tz1RyhUycXcivQ3jzF7ZpFZNcoLcgmXqcrSz,312277
tz2HSz8b961xoDjDLy3aFGogvW4HEqXXdcR6,1206924
tz1eSGjgq2NmLWnaQFQxafXK8ZQF5V7Sz72y,3522937
tz2EP3fw5CbUUgJdx4c3Xono8Gbc8PLXGRM9,290301
tz1VCogGe8xeRgQCLrVhPbwo6mBSQxAXep65,154740
tz1LFFspqhK9KRQNvS1ahZ1RcpQ2PNeM8TxA,364368
tz1ZhteLTqobRVCYsPj44oFfom5BJ2SdGxeE,296546
tz1aRF3qMDrbN95f8dGYTKPaey6J2qQQnk8j,12386118
tz2ALu8Jxf2SMgzSZaZEwfiJQbogpUDPStwz,549419
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,1339781
tz1PXJVTDRHBcjJGpD4h6PzDovisMJuc8zVc,138582
tz1L1i5BVehYJBebCGvPYU9kZYGKBELGUJGH,2420468
tz1TR56EbNTEEDeRrsPzQzoyvwFgZT25q3JR,132093
tz1XbQgDFCaT228TPS2YUeHHfpVqGW7ANCDw,71318
tz1Wb4LakUUYuFuuEgXXQrNZuBD49Trodhwx,151710
tz1RAfKUFBX6P2jFkCpzLFntju7djjbtKAKr,5674106
tz1MiQ6euA3EEdnZxJ6EPwVsHzd6vQ7AHJmU,118524
tz1UFwr89hcJvC4sNCYK7zSLcaD4JW2KkNYD,1601393
tz1ZPSGxrrPPfrmoGJgpXDArNJfNNy3qGvE4,132334
tz1iQ5n52oSKgdtdYtqEJgKmQYbL1nn2poB8,3593790
tz1gueZ7eL2KnvxqWudHjoTH3ZPiUCmwNKR6,446581
tz1QxepCwQ45EwtcxkgXZezHbnidvK7hUywy,2423273
tz1TVZgy4rejPUkEF3bsxLGNCp6H4gz4PaGf,43206
tz1WT27PugwGBtre1hsj6BHmbAK2qQsVbRDo,249449
tz1fL2TsQR271w84MXx3qFD7y4PZ1F2mpHFA,645349
tz1KhU89QWZuuhhnDD1paFp1jYMdpJLh55im,890266
tz1QQyhTMAmNQPcSGkM7GfDva8hmuFPAxUMB,6134760
tz1htnC2n5n27PFD41q5X8bDvDcjbGMUS3f5,9744654
tz1PoickddNEkRN6qp4K41u4KUW43vZ1UDvF,2910363
tz1b9qYttBxHzoEseqabgvQiCxafZzkAtH9G,2742943
tz1MQotPcNdc9R3nWCTwXLMDqKLS46WqW7Wx,1518897
tz1a89Pvs553YqhJdCfDdQrRuQeykHMvVSRX,22
tz1favSqpvTLtedjTm1UjuEmKfgm4o9kyLd1,2674341
tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,84550
tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ,847089
tz1TmSForCvNii8rmwL6q2jgicQfqjNFtj8K,1706847
