Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,18497619509846
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,72668986878142
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,12388947194513191
tz1V3fPD3AKPNwZf42PKGzFaWU3vZ83Gjvfq,2601471098125
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,39075482696831
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,724112667900
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,2008224723712632
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,3715516823393257
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,629896100084457
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,313005508997593
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,16105236828535918
tz1YrfZhjFnhgERznXtYee6c29n3PBeam8A9,36826911906
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,1017721226236666
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,35854326609377
tz1YjtCLzjw3bqPxJh6MqdVBFrM2zrsA9kyg,18216691577043
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,179528977171359
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,2212629835649
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,2942159976021864
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,102594763443377
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,40305126386
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,240086008754815
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,95686283252370
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,23792010385880
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,668800351394692
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,297568507063165
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,479581365124711
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,12169795608697
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,219711929868705
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,122542130911768
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,687574938744332
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,39257981698
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,10755755108315
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,2559354475960214
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,26476004607541
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,67665455126200
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,3246897098061656
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,874001063702426
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,1853858251109626
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,1768162638926388
tz1esBaTjr9qFQ7FhrDQF7N7bTpNSVTkGbMU,80784497823713
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,5873578564109
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,62301730
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,213215207431951
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,9591139837076
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,190882119247494
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,24592106684243
tz2LYELYe16viwVBaRjZc8GsauKRsxTGPvB1,51451292178973
tz1gN5Ch4VeDZjiM6R1KPMBxPWFxL3HHKZyT,5850464811882
tz2WYko4XXaV4B5mzjguTeRkkgw8LyB2jA2d,79814560087265
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,254214221605540
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,1960536333812802
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,781900337593
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,2544677101427688
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,355485277764706
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,60971135552384
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,1181200558766756
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,6170200779243
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,35736261768596
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,780071756107859
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,103640526490629
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,558028964863
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,10156953271672
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,774161647212923
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,521284198365380
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,153159316378095
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,2419909385812
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,2603959985682925
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,6578220545094
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,1704774787507897
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv,87543584674
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,27168409482853
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,74942245872781
tz1NPu5aFQ12P3KGhBGgt7G79SAgVj2Skkn1,227568072378215
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,31205747211343
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,147885647787692
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,1379057559397279
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,2392220
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,132967015844299
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,418718223210003
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,113243793192447
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,798549018449215
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,22252915921076
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,2255882068144249
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,1877546019543546
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,34093546666082
tz1S5RkjdXMREayGWMawArqqpyMqGRjohJJr,82245845261906
tz1bZ8vsMAXmaWEV7FRnyhcuUs2fYMaQ6Hkk,43128307295
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,497171395303240
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,29608250979895
tz1gk77xzDAG3sif9eFvsqUnzaGh4MrzaCp3,63658825238494
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,447565546937117
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,1182666353347359
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,936129578960
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,367269226054132
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,49567544684023
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp,4051295814820094
tz1ZLMaECyswARea2bTsBws9eMjgUm4jG8Uj,1545509416584067
tz1NySiq6aHysD6Rpu4bYhFaVe3ASya2qB8D,104009566995669
tz1Rb321A5bMKjQdczUs7TyJBeXjfCtB4mYd,935263072561174
tz1USU2xSWb7CBYGJYat2X7An9sr3cFfsLwi,66551777981758
tz1aoYg1xYeEdnLrAJ7y2r1T3aMBCyms6ppJ,633579988739009
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,69667165884034
tz1fq3tMpnnsZ944DVxcJqsVNGsWTPvqJzvo,32655332017354
tz1PrecMTmNArbdvQxtZLUVUBT8rcC86dKZC,805395096209
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,8462611837923
tz1dugdoeZULYPA9phfkpofrP95rFqhZNXeR,153459355480
tz1UecmgMghaWovhh9EYfqTrK9gTtaiMtbzs,1859629179084
tz1gGwXf6Ggkv9T4jGmp58jUMU2Gh2vYjDyH,48894229391215
tz1QjPnpmqAJYSfDtDM7uTf5bkZDNY7eBECd,168806926682732
tz1aVZZd883FwyEx5g2o3TgQ7pwEYi2f6apg,1115748237235
tz2MzvuRU1GEKi9udpqzLpGYfDoZTiKZ3C4C,32797225622022
tz1SEox4m6JwzUjLL2daQMKU7XDrvsEukR7X,1031982912603
tz1XJqUrY2okTwoJFgHFJKQV98tsn2oC6Twj,46898820617762
tz1VqXA6L6hPEFjvsgWv7Viw4xQn5GyNszzy,4539395648360768
tz1Wf1Lqz1yHm27P2RQJAVV2CMxnhYK4bBGc,104158332518429
tz1cTS1WwovU7SC783xgJxZrzr151mcshmNi,197840127142393
tz1f4Z9FJfgStP7v6Rj7BMJnWJ9Mb1NdAGsS,52004783
tz1ersiy3MYVu89DFXvW7Qb8AM6LYptSsoT7,205473906828556
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt,6411928032161
tz1dcpUhXGeXexEXispSpfv7CeufoFnV7AAf,1261142660717652
tz1RKRhkvC7MQgKfPejvNaHGshWUDsyJKZdT,745720001256814
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,33495941393
tz1SHzbhYsbX6Uk51hJC4JkjgWM1gWaSwBqQ,41374537811835
tz1NW1MMFL3jytxBjhx1qATMJyY47vLBMa4p,6067040247944
tz1QRm2TJKnarZ9tbL5CNjN4Ltq9pJtytuk7,163533610865
tz1WJpBDRGfa21un4yQDKTGXZw561nsGg7Qe,1147433439086
tz1UXAsfFeufr6p2PafNr2oXNrTDSdtwwdgm,16720600040252
tz1YPUNi7KW28VxZNEu3fNkRkJG55G9p7wsN,10740472132284
tz1YpusrSty7ULz7w9sM814trSRmM1aNbmZd,840726293233317
tz1cuj9Cgi19KMRi83UuypS89kXM435qdhmy,2029483243687
tz1htwxBMBFikeP8SnQiEQyA9n1ryDrDFyLK,10400959923863
tz1XTyukKgkqq9P83UkV15np7EtSSEy4kAeY,10653345898800
tz1WMFtCLLeRiayH19ZiaErKq4Zu9p5N73Sr,27771965070
tz1RFUjzPENm3vF7quaxfELQCfNTCSjAsFdA,102537471749579
tz1cLd3gXJ9Fk5c648hRzFvTnGfT97CxcHrj,63365869014534
tz1Te5JR7gzDBwtZLKPWSPuTGFE4JX21vVur,4012273056
tz1NGDuYTuuB1geX1K5b88cqa8JinFLdd3d5,52004984028280
tz1XykUaKpskyp7hDEZjmuNTk4gFU58a46KC,5966324763801624
tz1dghYwdzvHc3tYHp8iHpNUSpmAvvs8Zjs8,1236976999536035
tz1PuipWs33aqS2KSG5k1qQtC6Dff1P1GBmM,14387079504558
tz1ZNxMa8XsMa8JTv776X9iCETcNoo4SY629,19788867667222054
tz1iAAJhH465Cf3BnsKQ744XHypQGY1v7Ps9,53044879
tz1a5QW18ULwjJK71LSc7UqNGgryrFouHzf1,16840817781821
tz1Z1ZX2B98nEAvEnLXJBCnsJ6K1GqaSp9jK,36275868706657
tz1enT2GWv7U8jyPmmoVb228u8hvi6hJh5FF,3619914958588
tz1RyhUycXcivQ3jzF7ZpFZNcoLcgmXqcrSz,84598268707772
tz1gVon2mQhvutR49Yd5XK6k4ypwWfFjMZtz,40771750
tz2HSz8b961xoDjDLy3aFGogvW4HEqXXdcR6,326964650375737
tz1eSGjgq2NmLWnaQFQxafXK8ZQF5V7Sz72y,954389572070029
tz2EP3fw5CbUUgJdx4c3Xono8Gbc8PLXGRM9,78644834395840
tz1VCogGe8xeRgQCLrVhPbwo6mBSQxAXep65,41920253209019
tz1LFFspqhK9KRQNvS1ahZ1RcpQ2PNeM8TxA,98709987411122
tz1ZhteLTqobRVCYsPj44oFfom5BJ2SdGxeE,80336515471849
tz1aRF3qMDrbN95f8dGYTKPaey6J2qQQnk8j,3355489986336805
tz2ALu8Jxf2SMgzSZaZEwfiJQbogpUDPStwz,148841816854236
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,362956612062399
tz1PXJVTDRHBcjJGpD4h6PzDovisMJuc8zVc,37542984180009
tz1L1i5BVehYJBebCGvPYU9kZYGKBELGUJGH,655722687517744
tz1TR56EbNTEEDeRrsPzQzoyvwFgZT25q3JR,35785003459948
tz1XbQgDFCaT228TPS2YUeHHfpVqGW7ANCDw,19320712207476
tz1S1Aew75hMrPUymqenKfHo8FspppXKpW7h,44204065
tz1Wb4LakUUYuFuuEgXXQrNZuBD49Trodhwx,41099457677447
