Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,8
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,44
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,32
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,7039
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,14
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,2
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,879
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,2141
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,221
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,38
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,14690
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,229
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,17
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,1790
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,49
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,105
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,41
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,10
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,292
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,130
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,815
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,5
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,1081
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,53
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,4
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,532
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,1120
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,2
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,67
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,1355
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,215
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,25
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,774
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,3
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,8
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,93
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,150
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,10
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,159
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,121
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,858
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,187
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,1118
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,68
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,31
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,574
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,87
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,15
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,341
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,45
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,4
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,169
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,228
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,67
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,199
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,8
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,44
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv,2
tz1YSwscBZCf26kSPvqsnUdhnS4XQD6mAjcz,1998
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,8
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,32
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,13
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,1582
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,58
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,183
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,349
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,9
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,821
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,4
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,974
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,7
tz1gk77xzDAG3sif9eFvsqUnzaGh4MrzaCp3,399
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,195
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,4209
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,21
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp,5467
tz1ZLMaECyswARea2bTsBws9eMjgUm4jG8Uj,676
tz1NySiq6aHysD6Rpu4bYhFaVe3ASya2qB8D,45
tz1USU2xSWb7CBYGJYat2X7An9sr3cFfsLwi,27
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,32
tz1fq3tMpnnsZ944DVxcJqsVNGsWTPvqJzvo,28
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,6
tz1gGwXf6Ggkv9T4jGmp58jUMU2Gh2vYjDyH,21
tz1QjPnpmqAJYSfDtDM7uTf5bkZDNY7eBECd,73
tz1aVZZd883FwyEx5g2o3TgQ7pwEYi2f6apg,99
tz2MzvuRU1GEKi9udpqzLpGYfDoZTiKZ3C4C,248
tz1SEox4m6JwzUjLL2daQMKU7XDrvsEukR7X,4
tz1XJqUrY2okTwoJFgHFJKQV98tsn2oC6Twj,20
tz1VqXA6L6hPEFjvsgWv7Viw4xQn5GyNszzy,1987
tz1Wf1Lqz1yHm27P2RQJAVV2CMxnhYK4bBGc,73
tz1cTS1WwovU7SC783xgJxZrzr151mcshmNi,5
tz1ersiy3MYVu89DFXvW7Qb8AM6LYptSsoT7,89
tz1UFF5DSDDtk3fM1ewaLvVG6fhaAeCdgYEt,6
tz1dcpUhXGeXexEXispSpfv7CeufoFnV7AAf,553
tz1RKRhkvC7MQgKfPejvNaHGshWUDsyJKZdT,326
tz1SHzbhYsbX6Uk51hJC4JkjgWM1gWaSwBqQ,18
tz1NW1MMFL3jytxBjhx1qATMJyY47vLBMa4p,8
tz1UXAsfFeufr6p2PafNr2oXNrTDSdtwwdgm,7
tz1YpusrSty7ULz7w9sM814trSRmM1aNbmZd,371
tz1htwxBMBFikeP8SnQiEQyA9n1ryDrDFyLK,4
tz1XTyukKgkqq9P83UkV15np7EtSSEy4kAeY,4
tz1RFUjzPENm3vF7quaxfELQCfNTCSjAsFdA,44
tz1cLd3gXJ9Fk5c648hRzFvTnGfT97CxcHrj,76
tz1YDRhXyq5ZHMoHXJX67rHSrUFTqhYjFo86,5
tz1NGDuYTuuB1geX1K5b88cqa8JinFLdd3d5,22
tz1XykUaKpskyp7hDEZjmuNTk4gFU58a46KC,2611
tz1dghYwdzvHc3tYHp8iHpNUSpmAvvs8Zjs8,1126
tz1PuipWs33aqS2KSG5k1qQtC6Dff1P1GBmM,17
tz1ZNxMa8XsMa8JTv776X9iCETcNoo4SY629,9946
tz1a5QW18ULwjJK71LSc7UqNGgryrFouHzf1,3
tz1Z1ZX2B98nEAvEnLXJBCnsJ6K1GqaSp9jK,16
tz1enT2GWv7U8jyPmmoVb228u8hvi6hJh5FF,42
tz2HSz8b961xoDjDLy3aFGogvW4HEqXXdcR6,23
tz1eSGjgq2NmLWnaQFQxafXK8ZQF5V7Sz72y,1952
tz2EP3fw5CbUUgJdx4c3Xono8Gbc8PLXGRM9,34
tz1ZhteLTqobRVCYsPj44oFfom5BJ2SdGxeE,35
tz1aRF3qMDrbN95f8dGYTKPaey6J2qQQnk8j,11459
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,934
tz1Mdpj1npkpaxPHF2wFN6oX8SovVPfHyXSy,11
tz1L1i5BVehYJBebCGvPYU9kZYGKBELGUJGH,284
tz1TR56EbNTEEDeRrsPzQzoyvwFgZT25q3JR,15
tz1S1Aew75hMrPUymqenKfHo8FspppXKpW7h,1
tz1Wb4LakUUYuFuuEgXXQrNZuBD49Trodhwx,17
tz1RAfKUFBX6P2jFkCpzLFntju7djjbtKAKr,672
tz1UFwr89hcJvC4sNCYK7zSLcaD4JW2KkNYD,191
tz1ZPSGxrrPPfrmoGJgpXDArNJfNNy3qGvE4,15
tz1iQ5n52oSKgdtdYtqEJgKmQYbL1nn2poB8,426
tz1gueZ7eL2KnvxqWudHjoTH3ZPiUCmwNKR6,52
tz1QxepCwQ45EwtcxkgXZezHbnidvK7hUywy,287
tz1WT27PugwGBtre1hsj6BHmbAK2qQsVbRDo,70
tz1KhU89QWZuuhhnDD1paFp1jYMdpJLh55im,105
tz1QQyhTMAmNQPcSGkM7GfDva8hmuFPAxUMB,70
tz1htnC2n5n27PFD41q5X8bDvDcjbGMUS3f5,1155
tz1PoickddNEkRN6qp4K41u4KUW43vZ1UDvF,2
tz1b9qYttBxHzoEseqabgvQiCxafZzkAtH9G,497
tz1MQotPcNdc9R3nWCTwXLMDqKLS46WqW7Wx,180
tz1favSqpvTLtedjTm1UjuEmKfgm4o9kyLd1,406
tz1WHUWCMqVqq5AagGN5DrytqWz88tYgedUr,19
tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ,100
tz1TmSForCvNii8rmwL6q2jgicQfqjNFtj8K,202
tz1eoqCSmqPQtTLs53Rj6gBB14eQh2aHWVxu,4
tz1XhZUHsJAFp4FHoeeQQ7auVBk5j6xoUKbS,5
tz1Pwh2MBs6q2SeLHiko3iJpfMwsDV46bqQU,1030
tz1hLWsybqnJtQRFp8skYy5aZLGNmL9bMUpa,110
tz1PuYitvGfsBm7C3oYAXqNc3t5wNhWZj5Dh,97
tz1dbCAvra65bwTVk5mgkYUHUGz3hoKwovZ8,32
tz1T5NfkdPfhkXzYx8akPkdznxSgU1Uf5jEG,82
tz1PYqfNnkpZydtSY2Tn3Rv8mjkgUpHJpFXC,229
tz1WidyAU8wuyG25Pd7b93bcx9hMu7W9Pea8,2
tz2Mz3ovkZR2HyC89CHHSdsrPya1mKSmLWfD,15
tz1ae2d1BJt7YUqaaec6Xenh3mBqS7VjSZtK,14
tz1g1vr7gbU7kwxVqmbmnovTGtdeRxFE6uBk,3
tz1L1XwcVmD2z4qPfLtBJ6RPThgAwLcXG6kW,2
tz1epFVHmqeWvvkFf2eskwhQ1AY3JwWd7Ej6,47
tz1QRcnskFh7eaV7QdEnjoYdDfrDqHgmmrvF,123
tz1XybkRZWjLx3hwcy1hQ7PT6FWEhpHm1FBv,12
tz1XcuwadWbLKkc4mDVxRo25dbtwfEa7wf2c,84
tz1hvRvzke27MGtp8CsSvsafxyyMWSVYM1ut,4
tz1a7MJ4HMNbWDhKZAqrvzX5P6u2E2mJyJiV,164
tz1WeLuPLjUs53Yr1RCgq4EQ4d5SvV651Tqt,1
tz1Wo716Gggp5HfupfxtPgmYu23rDQNcLcD8,152
tz1imyQrFWHyTp4avUNAw52RxdFjU3HPviRN,42
tz1isKR8pS4pdgU934K1S4UpLsF56ECJNArh,56
tz1eL4fYCgegW8tLCbQ1mYiKY3TdDxWnnKo8,91
tz1Rhg2UDkjgLhemdSMtiGVGRmzwVLVaHArD,11
tz1dPHDXSCFo8PienbvDMyCKr5DXjPMrZkJ1,75
tz1fkkxXSMtSQew8F78XdsnaC26AfsXtsGiY,15
tz1ZuiTWKXKqYfzFPaSaAG3Huf9QM1AdZ1pJ,58
tz1RsCndtupuxe2U3syGAdcRBzpNqJZ9ANNc,1213
tz1MrZQhiNiHK14oEq595DLsVQ9wC4Nv2ZXW,7
tz1LJQ6MPnjGekNAmhFmkm8XWtM6UGx4MyF4,277
tz1hmxzW7MuU8HeRoCFPGZJnavGf5unqgaph,166
tz1NnBgY2ze24nQDpdY72wb1GVsee1UfAT3d,6
tz1dAW94vB3yYfNPE4LM2txBT8PQ21Zq4Xzf,13
tz1eeR22tmjPN3rGDikEMvpe8jcdXww3dqTt,45
tz1MsfyCeQEt7khed67HHsAidezZ1Th6mjzB,15
tz1WBMWCwjuFSsiiLUWKEQHEACNEat2S3EsD,2
tz2SuPjN8dYMJQe548bTvSPL1fdStZPXv7gT,3354
tz1N33TtiYBQ67sw32rhCsMSVpZkrSHWe9aq,711
tz1QMjzbw5Yoi2zPqUeg2yuv5GZdmXjhh9mr,45
tz1NJS9T6FKTnKUkVNv2g44GHTAhzH77qiYw,92
tz1RCQDHtpdcwfgF1Kbbyusd6xhfjbXanhZ5,537
tz1c8JTzmA6c7cm6ZmUwR7WES6akdiMa1kwt,72
tz1XRTNgXgWmR4PqxZpiB6HZJ8Siz3M2JAim,21
tz1imbraxLCQ9TUpnJVP31LS18hpTqG5wv1k,51
tz1iDuz9LvybPBC4kDc7ceBoKVDwwzJR7zKb,1396
tz1eiyML8sHGBL139FwJQJeLGHWAFtDqPz4U,4
tz1YQDCB6Hbn2ozMyS2kf6WPJDeRvJtmtNqQ,81
tz1gaRjULm9qy4D83VCvb4ABWLKpz4XXfqjx,22
tz1hAZNx3LrRKFgfRytoLNVGhCrzU1uVDUHS,72
tz1gJaXdi7Gweq8TUSy9knB2wLjioTKy2tZF,9
tz1PoXtd7RGVBwWmmZvxX18NQXYpbNdiwwtE,126
tz1RLCvv7wrWq4hTmyKk1zZuZeuUXNViSgRD,2
tz1bRDYJHp3ACUojEeM6Ja442YEwNmcb7ph9,44
tz1MDs7ym4sp2FsQhL32vuAnEqG3ARhM9Vi4,48
tz1Xy5UM1tC3CFcbPBVq5PjufaxcLjMwfQkE,1
tz1RAKBnmd1X43pkkGqywYCRgf1Uo6D77zMx,1
tz1cXwKRD6AMy5nhqEVUU23SBxcAMnh2aKLn,14
tz1chab75LnyqBqNwrK11459SGCFQXLg9uyx,23
tz1USfPTFciXzVsQL7Rk8HmMWyWtFEas7fh3,52
tz1fj962xSPKTA57yWHA43VeVzo8KqdpNAeF,68
tz1ioU6W4otB7ebgRZTq1EVVra3vMyXqeqsm,12
tz1N8oU57qMgDRr6N9pSbhaiWRRQSxJRPGoZ,9
tz1WsKkY3TLDvqTuK97Xu4zuVoTb2nsr7J8S,8
tz1gSGxwMrToBdzLeaxg4Bregv6W2oEbNLC8,423
tz1KxARuCbAoiGGesnQjr2pvZa7CzJR7V9D7,33
tz1QS7N8HnRBG2RNh3Kjty58XFXuLFVdnKGY,2729
tz1RAP1j8SjwT587jyccTNArBFhC9HhGKfHq,5
tz1QiZCuJMuVz3aq7j1Bq2v3BRTQPCdTw3Fb,89
tz1L8hBVpams2fWFC9kS1sPVxfGY6Hmg5TQ8,12
tz1TQSPkLPqXUREhxvYzPbAib6Jz35w2a6tw,41
tz1XD1xSVzgY8Qs1id1kNyFJDbv9e9pNMe2c,22
tz1hes6aF3Px3D8nPQx27fdwBKrXmGs1UYxT,132
tz1c1BG1PEeuhMFwmonTVSGafehicqbBJFec,3
tz1THwbFPPPBHmBu4cmLV2SppLFrA5QfBhyF,18
tz1QSwx2wnmrTjEGrid79c4tpFMxjCT86SAy,38
tz1RcJYTsoYQ7adtNMANhwd8qf4zApM4i2Yd,96
tz1NZnfrNgCGdECyAhA93TLPTSciJcZBJqDY,2
tz1UGuKv6PzgVbofb42VgeRwDwsVN47UpuZB,76
tz1N3nvFqipu91tfU9s4GXGsopawpwxSoAJh,3
tz1LFeLTRQZrgKxbmvjz2ckViRhVw9BZXw7t,902
tz1XuzzMTz1LhqbRPy9uxfRkccSxju3v8Y4j,14
tz1MoiwNRQWHfA71aypNk8J9CsKjfmq39c2F,163
tz1YHLm7Lq27q3rgVXLY424zQMkvncVvNiaK,5
tz1fKtBhuuZiMYhM3Pi1hcP2sjRbstgDrmqX,1
tz1XEA7cp83PyiXfSxWu3uHjA3EF6Gdh3Vhq,4
tz1UXMLCt7dqbUiJ2BHRhE1gFkdVkmCZYcM9,1
tz1iKF8o1hCLaTNZcCJpgKQBQxkpcSiBy5V6,64
tz1c2iwyckUCcicx2qxqtwLEartYFEHg1pvB,29
tz1PQDUDph7dDCn8pLGXqaR79DiUWLiSZdEf,15
tz1fUZ5pMP1gUjuJsp5V631cXmA87Kxm3cuZ,234
tz1NVsmLrZX4jad9bNdvM1EskvcTq2LSZhLx,202
tz1PKoh9LB2P3pgh5ahaAFnrC2QBmUxcHDJU,14
tz1cqoo91JCc6sKmNuTVKNzwUdi6E6moHWFb,60
tz1ZGNErBKdYeEPjZuqKXhyTixQTTPn54bx3,1
tz1QVUXNoyCfKpAyxDpq8kR3rK2AShuzQxJ5,155
tz1UVTMhbMiSETKCxFi413yZ7imF1xeyt3fV,46
tz1hLhGe26gqt78sZboxiwne6zgKMqirRieW,1
tz1RYTr2WKdJD1MMV51kN9AoxPnxZJgJ5sqU,2
tz1R6mtcAQwBTK9YpSqRL9y2a6JZWgDkBm6M,28
tz1QGCWjNpYmcS6T9qFGYSam25e36WeFUCK4,27
tz1LApX9pPhcDUDznHR5TTCcSXh3m6zPgFHA,2
tz1hUY7paB2J5EhD73r4oWL6uZubf1UibHrk,49
tz1RaZeHEiKewSd14gZ7HKfcQ3HaNHJ5tnV6,490
tz1aiLrqvULcV2Kfvzt9dUmqnLQnoNXPPek8,444
tz1M2h2hPZzov29kf7xcHXrunXb2jFSbfiNd,228
tz1MToDUySbYhPabULUyDPPsfDQF1cpZPdoH,34
tz1gMfLSQs6xTM2TcLM6Sb2njJ6h9qhSsT9Z,68
tz1UNTxRbAYTSBSdHMjoUoYAtLH4MHMUiGwg,4
