Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,22474918006132
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,124207672405112
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,855766232368
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,90799634636379
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,19538505870899892
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,40930519758238
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,6820898661690
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,2440101873689310
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,5943548938650733
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,615784493800382
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,107467708118859
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,96698345634
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,40774644808345637
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,636598672760114
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,47802182072606
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,703944054961
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,266975279600
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,4968198221450343
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,138029820163964
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,292189001502058
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,116260439310248
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,28907691735094
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,1770711022599
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,812603646218739
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,361550727859431
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,2264729580668340
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,14786505815587
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,3001156073677592
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,148890744729216
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,11415838342915
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,1477214642780094
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,40898845173
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,320564506843
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,3109658622030482
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,6594346188139
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,186315424086413
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,3760917801011857
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,597750616488084
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,70323264982075
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,2148347267615886
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,9841503665727
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,23628362701975
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,259060053762202
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,445746743227
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,418175962501909
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,29879822159398
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,441379005646793
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,336127102698415
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,2382142162650368
