Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,156748001520356
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,866268095736068
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,5968415397811
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,633268662610813
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,136268428081547521
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,285463874508586
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,47571351917778
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,17018130704749058
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,41452405646941257
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,4294698149470363
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,749517683268431
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,674408352652
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,284376747655617139
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,4439863571401370
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,333389270036437
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,4909554008927
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,1861979719850
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,34649965893394960
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,962668627089641
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,2037829105279921
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,810841290401498
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,201612433327067
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,12349562921066
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,5667384305392723
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,2521582237796518
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,15795022507176143
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,103126304417667
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,20931120490463519
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,1038416543936416
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,79618081162444
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,10302615698495937
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,285242964790
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,2235729883081
