Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,1272683
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,7033487
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,48459
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,5141696
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,1106403807
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,2317765
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,386245
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,138175253
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,336564383
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,34869928
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,6085556
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,5475
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,2308939207
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,36048569
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,2706886
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,39862
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,15117
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,281333356
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,7816192
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,16545739
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,6583461
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,1636951
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,100269
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,46015175
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,20473474
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,128244475
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,837313
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,169945978
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,8431212
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,646442
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,83649994
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,2315
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,18152
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,176090135
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,373416
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,10550453
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,212968883
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,33848727
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,3982184
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,121654112
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,557293
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,1337999
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,14669751
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,25241
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,23679982
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,1691999
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,24993897
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,19033815
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,134893178
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,29400744
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,175862189
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,10802111
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,5020977
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,90256066
