Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,749783809333266
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,4143681491470341
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,28549143780141
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,3029158812733296
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,651822416284972030
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,1365479554316905
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,227551414436459
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,81404029038807935
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,198282225677723718
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,20543133610722571
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,3585220980636667
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,3225945203722
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,1360279423500935249
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,21237513647362249
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,1594724490610457
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,23484217158988
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,8906539373450
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,165743634169674212
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,4604800975731494
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,9747692184315069
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,3878554530744589
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,964387021223275
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,59072538346559
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,27109200450642352
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,12061662780157665
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,75553449033270381
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,493291350567551
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,100121310018203009
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,4967131347357054
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,380842802503165
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,49281230826485683
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,1364422861226
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,10694324980976
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,103741054215009420
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,219993416823882
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,6215652861155634
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,125467655751294414
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,19941506978555358
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,2346048403319046
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,71670828683079258
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,328321558549973
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,788263778767128
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,8642480204061583
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,14870518817636
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,13950732369779427
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,996818180816576
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,14724807099331210
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,11213507404681451
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,79470440096735863
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,17321039834689302
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,103606763076086207
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,6363913962707741
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,2958039007097081
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,53173106090149439
tz1XLpud4YtVgwiAJezLKUsAo9K2s8n2YPqx,1494061758067
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,8086088617236361
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,1448536146282290
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,31634023630761083
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,4200972385235039
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,4455913061955
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,435086840362767
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,15684989744712959
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,21129770335452077
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,6208170495004436
