Address,Amount
tz1NRbpmTuPEFCCYCqCr7i3hkMRDRhBFgmxz,18201792718989989
tz1RDbEW7YUkwnnDdMNieSiF6kB4XBws7QSg,100592238272425051
tz1eqt71cHna4YgyNg3ao6x22xU7c7CZXxcf,693060574157850
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,73536024832681048
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6,15823676589336388190
tz1YTQ3Lys25j8FhZQY61eoYErYUteSao3ez,33148456262074187
tz1R3bKH1seset2h49p4vrZJCEL8voJgSK2G,5524050568881304
tz1bdRJkGkNQ7homh4PTnkVM7xzVWhuC4EMm,1976168656365895625
tz1Z2Ne4ZHxNPuCJeCcoykHVXTqhVdLMD9gV,4813510143484227009
tz1Qji1NnEPj4Cxa9s2WEoWi9U9KM6a9gdDL,498706233885462035
tz1cmanHzitf3UgWgECzLpGUKpzEfmGZaFsw,87035020400549624
tz1eZFb4bNMMdveGT7BPcktbYsurg2e8r1xR,78313222011540
tz1RartAmPJhFsL9oAhZndSL2G7KCsaQqqkf,33022217602282243474
tz1MyqKoe43P4Z8MfHoXVBTrohgcbehp2zLL,515563041591618159
tz1SRcMg9GRXi7paNeAc3ARn23mS3Z5dXa6S,38713618860081959
tz1hD7VdzRpWG3nmYpCyW2gNc8mQNs3TCgxu,570104138786026
tz1f38MX7YT2Q7MAq3mDdj75GTN7vgqV2TfH,216215636428893
tz1aBDeNFooBEmBXnWDVgLknNMUHMYhHVcRA,4023601518324577841
tz1hD5k7QW9ChHCgb2YLthKFirKDYQiNPDJz,111786400065105780
tz1ZL7ekzieKxwngCCyjsCN5qhu1ohwJQEBy,236635508020898051
tz1enbGpES1NDr2kTaocDhxvMqtpMy4ruhW6,94156001688926126
tz1ehGMhxarDhwppx14PX1Y3eqbZ5W9Bc2Y1,23411512015442815
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,1434048168264378
tz1ed4brTwpFg8hFUJSJ4HqnsC7sEjVesMtb,658104431221210879
tz1QJE62jTxHis7kZkbDT2zsYZyauNDNzWg7,292809584626817075
tz1gWt7kUnJtGXoT5BYzHVa89qGp6QVvQmyp,1834139656511447740
tz1epR6pJmPaJ8vvzNi6V1T51ccocX1Y4VBb,11975167776809476
tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK,2430550392019796502
tz1esdEqZC5Nz3HDFseHvpH6SmQJPocxLzA2,120582351962210115
tz1XyTsb9DwkPru3eU1Cwnr5JkihEi5eisHo,9245360680495419
tz1ULQQ3S4kFLhhpPsegiMVFmXx2G6ewmbTA,1196353851969731691
tz2Lqs8WFf2HDG1RoxG3EAtuHjDS27XQANWT,33122803922877
tz1LRrXCmELevk5znmVcYD63TChSpYh3vaE6,259616017510900
tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2,2518423499902220842
tz1N9qzry2ko1gwTK6HKWamZZK6FGx3Vr89U,5340572205915487
tz1M5swezYMnDaim71PSeb2cPFk49ajrvDV6,150891528442787220
tz1QQ4HyGbCZDmQxeVHoLP99KLyfvGvyX21i,3045859665806107632
tz1WKygtstVY96oyc6Rmk945dMf33LeihgWT,484101112893759944
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,56952799212753151
tz1LWMmDzH79xyu6JvELrnvWLBBVjZg7TnfN,1739884952767505990
tz1RfSFe1dxP7wh1zSffEnskgqvVVWKNKZG1,7970352092847198
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy,19135934559277330
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy,209805321606220742
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6,360997527251416
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n,338668741191718952
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,24198812617570627
tz1L5rXu3RqYBjZzjWXLaFANYZcwS5Pb1ZST,357460221617041418
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,272219718393718316
tz1QkQLtDkqpw8VSymi13A86jh5iaCeMriMJ,1929228745568644064
tz1h6J2pn9X3KMghNHZikrh3PtEpgCcRAjHZ,420486509342920856
tz1VCyNit49HjTmz8SEgeL67x4BLuoTaeYMy,2515163440876871904
tz1gACjUSBkWjqWv5ZBMRk6G9Sp8xNAYgwYV,154490723044148768
tz1ieVZFcRity1eybQtgUyGg8NLEYWNqKtQe,71809516545503773
tz1T5GmdYXDWwbhBrU7RubT7Z2dmz3ZmKwCE,1290833228498767126
tz1XLpud4YtVgwiAJezLKUsAo9K2s8n2YPqx,36269924865269
tz1gmajxhmKt22CbcsSA7WWXSATgbuVEmzTC,196298329046607875
tz1cfzEz3R8YKMqC2rbKnr2XtpNjZxH6RGdy,35164742626331610
tz1hR9eQYNNTZ4VGUeipK4PHtyyDEDmQ9dSf,767949285950522122
tz1RxeY78zE8hNJbqPypB1mTVyTsBRmPuqry,101983035139481970
tz1SBF19iLiCc8dNpKe1Ym9juSAKaTPyeypF,108171988935958
tz1X6ADVxP37XjYppBHMLVRJQwmxA2YxztbQ,10562191907138594
tz1T1u1CET7ek19f5P59vCdjTNFWAscYQ5ct,380769667974853872
tz1V9qHfFxixcXJKWuEziUqvdrQ7BWpPnWTa,512947459065249208
tz1Lqnwap8kKynTpefqqSH158i667Wdg8HVA,150709886113309882
tz1Kp19QyYUnXuE6cxuXxsfQZbyqv5JtKPku,56802126399
tz1cnojsw9qgMbdpgPeCcWPf5GX4YPvd4HAh,448622506076356216
tz1fbJACCskangcgy9xjDSiEYgh7CUmSo9oc,18141507092483044
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW,99630887415969676
tz1RJf644pa7QAZqKzrPQGiYQPyubXarC4cv,4752625082207267
tz1YSwscBZCf26kSPvqsnUdhnS4XQD6mAjcz,4492170059813305389
tz1iCiA1vKmgfZbY533ZgMwFKZ14S1DQNooQ,19068366667596203
tz1hNGWJUFPFV7AWLXvxGzJVEfCZ8KJ77PJA,73743717376489734
tz1Qm3DHkV7V6peZPyWe4rv6aToH3nRmWEH7,30706683207518544
tz1KsiwkQ9pyrt4Ra7QrAQp5LQJCGxHQrY1n,121802486637619
tz1eKTUc8X17nVmtVRtxBcs3hwUPXWuqP2AS,3556778137502991961
tz1hXx6tvTV3kzxpBR6E4hDYcxdgcRGHUTFj,2353961994
tz1fkZtnjNfQHtEyUpyX9Tqq4RrLKx35qBxf,130840514887458020
tz1chg2T1s4DTjLqthPc49HDcqkFHMwdSPwb,412021790289033012
tz1Uzm53vPr2Giyi32yT9GUvBErKqHPBjvQL,340721360951611
tz1aR3nrJgUyU5B623U9s1MtMsMjA5Wz5c3G,785778067390153095
tz1YaPLZuVmZaKB69BjJXKUDgNaZrxBR4Lfn,21897031819306855
tz1WNk2o2hJvzjuZRNmZQwjLQuv24wDv1zjU,61737975317828
tz1QmBcwm7RH6swEYNpsZZfAWCCFaW6wugVT,1847518998317858157
tz1LxqBcvRbZhp34C2ab62CMy49wFbsQSzD7,10648663177147771
tz2Kmi3xEnXk8c7zqWSQqSSyfNpWt6ovG38D,2190992871549578295
tz1LgePVXLZYNhHoRQ6KgHfQjQ1uq7JJPZDa,17064930181145783
tz1gk77xzDAG3sif9eFvsqUnzaGh4MrzaCp3,898606146187414270
tz1cWUkZFBZ72Yn9desxcgS9KdH4BVfqd2ZW,440407767560271837
tz1a3LNYNZTNN2SLMjWSUc5jtLWFvZ1kC7BR,9461958577643464456
tz1SGPStfd9v5upQUxRiHPC9666X4FpVAmK4,921158343930459
tz1iF629Cc91SJkmQRAWAm6nYavf7RgpAqZh,826398518697345
tz1WHGwmdEr4iruf4v9r6bdHgzC5v8SKYTkV,48774826049784655
tz1Uza3jMhipiQMtmeEidizjbSqnqZMQyRv7,24778845128459
tz1YqsEWdPxBmqVKsJircrwBmCmZDtHAgHzp,12289423725790044904
tz1ZLMaECyswARea2bTsBws9eMjgUm4jG8Uj,1520792555546726503
tz1NySiq6aHysD6Rpu4bYhFaVe3ASya2qB8D,102346173692206234
tz1USU2xSWb7CBYGJYat2X7An9sr3cFfsLwi,62476668551309358
tz1aoYg1xYeEdnLrAJ7y2r1T3aMBCyms6ppJ,1117682136153975
tz1WxCJ3UpzyWsXmmkE1YjYzbBv6jXYkbFYV,74146224510732616
tz1fq3tMpnnsZ944DVxcJqsVNGsWTPvqJzvo,63718137117693152
tz1PrecMTmNArbdvQxtZLUVUBT8rcC86dKZC,2039368372984438
tz1Q1LWn8wCK77L4xetjbH3Ar7sDaSANezZx,14249172597292933
tz1dugdoeZULYPA9phfkpofrP95rFqhZNXeR,151005126781560
